Attack Type,Defense,seed,start_num,Number of Attackers,Best Global Accuracy,epoch_num
our_attack_hessanangle_mean_cha,Bulyan,666,0,10,26.521915584415584,396
our_attack_hessanangle_mean_cha,Bulyan,666,0,15,20.373376623376622,276
our_attack_hessanangle_mean_cha,FedAvg,42,0,5,63.87987012987013,1201
our_attack_hessanangle_mean_cha,FedAvg,42,0,10,52.69886363636363,1201
our_attack_hessanangle_mean_cha,FedAvg,42,0,15,21.083603896103895,201
our_attack_hessanangle_mean_cha,FedAvg,666,0,5,62.195616883116884,1201
our_attack_hessanangle_mean_cha,FedAvg,666,0,10,23.011363636363637,1201
our_attack_hessanangle_mean_cha,FedAvg,666,0,15,26.318993506493506,636
our_attack_hessanangle_mean_cha,Median,42,0,5,55.925324675324674,1201
our_attack_hessanangle_mean_cha,Median,42,0,10,30.905032467532468,579
our_attack_hessanangle_mean_cha,Median,42,0,15,22.869318181818183,1201
our_attack_hessanangle_mean_cha,Median,666,0,5,58.076298701298704,1201
our_attack_hessanangle_mean_cha,Median,666,0,10,32.22402597402598,1201
our_attack_hessanangle_mean_cha,Median,666,0,15,19.987824675324674,1201
our_attack_hessanangle_mean_cha,Multi_krum,42,0,5,62.33766233766234,1201
our_attack_hessanangle_mean_cha,Multi_krum,42,0,10,39.184253246753244,1201
our_attack_hessanangle_mean_cha,Multi_krum,42,0,15,23.23457792207792,1201
our_attack_hessanangle_mean_cha,Multi_krum,666,0,5,56.18912337662338,826
our_attack_hessanangle_mean_cha,Multi_krum,666,0,10,35.53165584415584,1201
our_attack_hessanangle_mean_cha,Multi_krum,666,0,15,20.02840909090909,243
our_attack_hessanangle_mean_cha,Norm_bounding,42,0,5,63.51461038961039,1201
our_attack_hessanangle_mean_cha,Norm_bounding,42,0,10,50.97402597402598,1201
our_attack_hessanangle_mean_cha,Norm_bounding,42,0,15,28.794642857142858,1201
our_attack_hessanangle_mean_cha,Norm_bounding,666,0,5,61.91152597402598,1201
our_attack_hessanangle_mean_cha,Norm_bounding,666,0,10,50.36525974025974,1201
our_attack_hessanangle_mean_cha,Norm_bounding,666,0,15,30.70211038961039,1201
our_attack_hessanangle_mean_cha,krum,42,0,5,50.791396103896105,1165
our_attack_hessanangle_mean_cha,krum,42,0,10,29.13961038961039,900
our_attack_hessanangle_mean_cha,krum,42,0,15,20.5762987012987,1201
our_attack_hessanangle_mean_cha,krum,666,0,5,45.59659090909091,745
our_attack_hessanangle_mean_cha,krum,666,0,10,28.977272727272727,786
our_attack_hessanangle_mean_cha,krum,666,0,15,21.428571428571427,396
our_attack_hessanangle_mean_cha,tr_mean,42,0,5,52.71915584415584,785
our_attack_hessanangle_mean_cha,tr_mean,42,0,10,42.91801948051948,1201
our_attack_hessanangle_mean_cha,tr_mean,42,0,15,27.94237012987013,1201
our_attack_hessanangle_mean_cha,tr_mean,666,0,5,62.11444805194805,1201
our_attack_hessanangle_mean_cha,tr_mean,666,0,10,43.20211038961039,1201
our_attack_hessanangle_mean_cha,tr_mean,666,0,15,26.01461038961039,1201
